model,openai,anthropic,google
gpt-4.1-2025-04-14,0.7445652173913043,0.6935374149659864,0.6224637681159421
claude-3-7-sonnet-20250219,0.7949275362318841,0.8360544217687075,0.7231884057971015
gemini-2.0-flash-001,0.7358695652173912,0.7183673469387756,0.644927536231884
deepseek-ai/DeepSeek-V3,0.6648550724637681,0.582312925170068,0.5471014492753623
Qwen/Qwen3-235B-A22B-fp8-tput,0.7170289855072464,0.667687074829932,0.5920289855072464
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.6996376811594202,0.7037414965986395,0.6768115942028986
